method	path	operation_id	tags	openapi_line
POST	/v1/apps/{id}/scale	scaleApp	[Apps]	6857
POST	/v1/apps/{id}/disable	disableApp	[Apps]	6882
POST	/v1/apps/{id}/migrate	migrateApp	[Apps]	6901
POST	/v1/apps/{id}/move-project	moveAppProject	[Apps]	6936
POST	/v1/apps/{id}/failover	failoverApp	[Apps]	6961
POST	/v1/apps/{id}/database/switchover	switchoverAppDatabase	[Apps]	6986
GET	/v1/apps/{id}/database/status	getAppDatabaseStatus	[Apps]	7011
POST	/v1/apps/{id}/database/localize	localizeAppDatabase	[Apps]	7030
PATCH	/v1/apps/{id}/continuity	patchAppContinuity	[Apps]	7055
GET	/v1/image-locations	listImageLocations	[Apps]	7086
POST	/v1/image-locations	reportImageLocation	[Apps]	7144
GET	/v1/images	listImages	[Apps]	7167
GET	/v1/images/{id}	getImage	[Apps]	7210
GET	/v1/images/{id}/replicas	listImageReplicas	[Apps]	7229
POST	/v1/images/{id}/replicas/report	reportImageReplica	[Apps]	7268
POST	/v1/images/{id}/verify	verifyImage	[Apps]	7293
POST	/v1/images/{id}/pins	createImagePin	[Apps]	7312
DELETE	/v1/images/{id}/pins/{pin_id}	deleteImagePin	[Apps]	7337
GET	/v1/image-replication-tasks	listImageReplicationTasks	[Apps]	7357
POST	/v1/image-replication-tasks	createImageReplicationTask	[Apps]	7409
GET	/v1/operations	listOperations	[Operations]	7432
GET	/v1/operations/{id}	getOperation	[Operations]	7502
GET	/v1/operations/{id}/diagnosis	getOperationDiagnosis	[Operations]	7521
GET	/v1/operations/{id}/evidence	getOperationEvidence	[Operations]	7540
GET	/v1/operations/{id}/timeline	getOperationTimeline	[Operations]	7595
GET	/v1/operations/{id}/debug-bundle	getOperationDebugBundle	[Operations]	7619
GET	/v1/audit-events	listAuditEvents	[Audit Events]	7653
GET	/install/join-cluster.sh	joinClusterInstallScript	[System]	7680
GET	/install/node-updater.sh	nodeUpdaterInstallScript	[System]	7695
GET	/v1/node-updaters	listNodeUpdaters	[Node Updater]	7710
GET	/v1/admin/node-health	listNodeDeepHealth	[Admin, Node Updater]	7727
GET	/v1/admin/node-health/{node_updater_id}	getNodeDeepHealth	[Admin, Node Updater]	7744
GET	/v1/node-update-tasks	listNodeUpdateTasks	[Node Updater]	7767
POST	/v1/node-update-tasks	createNodeUpdateTask	[Node Updater]	7794
POST	/v1/node-updater/enroll	nodeUpdaterEnroll	[Node Updater]	7817
POST	/v1/node-updater/heartbeat	nodeUpdaterHeartbeat	[Node Updater]	7845
GET	/v1/node-updater/desired-state	nodeUpdaterDesiredState	[Node Updater]	7875
GET	/v1/node-updater/image-locations	nodeUpdaterImageLocations	[Node Updater]	7892
POST	/v1/node-updater/image-locations	nodeUpdaterReportImageLocation	[Node Updater]	7945
POST	/v1/node-updater/image-replicas/report	nodeUpdaterReportImageReplica	[Node Updater]	7968
POST	/v1/node-updater/image-cache/inventory	nodeUpdaterReportImageCacheInventory	[Node Updater]	7991
POST	/v1/node-updater/localpv/inventory	nodeUpdaterReportLocalPVInventory	[Node Updater]	8014
GET	/v1/node-updater/image-replication-tasks	nodeUpdaterImageReplicationTasks	[Node Updater]	8037
GET	/v1/node-updater/tasks	nodeUpdaterTasks	[Node Updater]	8070
POST	/v1/node-updater/tasks/{id}/claim	nodeUpdaterClaimTask	[Node Updater]	8104
POST	/v1/node-updater/tasks/{id}/log	nodeUpdaterLogTask	[Node Updater]	8123
POST	/v1/node-updater/tasks/{id}/complete	nodeUpdaterCompleteTask	[Node Updater]	8152
GET	/v1/source-uploads/{id}/archive	getSourceUploadArchive	[Source Uploads]	8181
GET	/v1/source-uploads/{id}	getSourceUpload	[Source Uploads]	8217
POST	/v1/agent/enroll	agentEnroll	[Agent]	8240
POST	/v1/nodes/bootstrap	bootstrapNode	[Nodes]	8263
POST	/v1/nodes/join-cluster	joinClusterNode	[Nodes]	8286
POST	/v1/nodes/join-cluster/env	joinClusterNodeEnv	[Nodes]	8309
POST	/v1/nodes/join-cluster/cleanup	joinClusterCleanup	[Nodes]	8331
POST	/v1/agent/heartbeat	agentHeartbeat	[Agent]	8353
GET	/v1/agent/operations	agentOperations	[Agent]	8378
GET	/v1/agent/image-locations	agentImageLocations	[Agent]	8396
POST	/v1/agent/image-locations	agentReportImageLocation	[Agent]	8449
POST	/v1/agent/operations/{id}/complete	agentCompleteOperation	[Agent]	8472
GET	/v1/backups/backends	listBackupBackends	[Backups]	8503
POST	/v1/backups/backends	createBackupBackend	[Backups]	8520
GET	/v1/backups/backends/{id}	getBackupBackend	[Backups]	8544
DELETE	/v1/backups/backends/{id}	deleteBackupBackend	[Backups]	8563
POST	/v1/backups/backends/{id}/test	testBackupBackend	[Backups]	8583
GET	/v1/backups/policies	listBackupPolicies	[Backups]	8603
POST	/v1/backups/policies	upsertBackupPolicy	[Backups]	8646
GET	/v1/backups/policies/{id}	getBackupPolicy	[Backups]	8670
PATCH	/v1/backups/policies/{id}	patchBackupPolicy	[Backups]	8689
GET	/v1/backups/runs	listBackupRuns	[Backups]	8715
POST	/v1/backups/runs	createBackupRun	[Backups]	8757
GET	/v1/backups/runs/{id}	getBackupRun	[Backups]	8787
GET	/v1/backups/artifacts	listBackupArtifacts	[Backups]	8807
GET	/v1/backups/artifacts/{id}	getBackupArtifact	[Backups]	8854
DELETE	/v1/backups/artifacts/{id}	deleteBackupArtifact	[Backups]	8873
GET	/v1/backups/restore-plans	listBackupRestorePlans	[Backups]	8893
POST	/v1/backups/restore-plans	createBackupRestorePlan	[Backups]	8915
GET	/v1/backups/restore-runs	listBackupRestoreRuns	[Backups]	8939
POST	/v1/backups/restore-runs	createBackupRestoreRun	[Backups]	8961
GET	/v1/backups/usage	getBackupUsage	[Backups]	8984
GET	/v1/admin/backups/status	getAdminBackupStatus	[Backups, Admin]	9001
GET	/v1/apps/{id}/backups/status	getAppBackupStatus	[Backups, Apps]	9018
POST	/v1/apps/{id}/backups/policies	createAppBackupPolicy	[Backups, Apps]	9037
POST	/v1/apps/{id}/backups/runs	createAppBackupRun	[Backups, Apps]	9062
GET	/v1/data/backends	listDataBackends	[Data Workspaces]	9093
POST	/v1/data/backends	createDataBackend	[Data Workspaces]	9110
GET	/v1/data/backends/{backend_id}	getDataBackend	[Data Workspaces]	9134
DELETE	/v1/data/backends/{backend_id}	deleteDataBackend	[Data Workspaces]	9157
POST	/v1/data/backends/{backend_id}/credentials	rotateDataBackendCredentials	[Data Workspaces]	9181
GET	/v1/data/workspaces	listDataWorkspaces	[Data Workspaces]	9211
POST	/v1/data/workspaces	createDataWorkspace	[Data Workspaces]	9235
GET	/v1/data/workspaces/{workspace_id}	getDataWorkspace	[Data Workspaces]	9259
PATCH	/v1/data/workspaces/{workspace_id}	patchDataWorkspace	[Data Workspaces]	9278
DELETE	/v1/data/workspaces/{workspace_id}	deleteDataWorkspace	[Data Workspaces]	9314
GET	/v1/data/workspaces/{workspace_id}/snapshots	listDataSnapshots	[Data Workspaces]	9345
POST	/v1/data/workspaces/{workspace_id}/snapshots	createDataSnapshot	[Data Workspaces]	9364
GET	/v1/data/workspaces/{workspace_id}/snapshots/{snapshot_id}	getDataSnapshot	[Data Workspaces]	9390
DELETE	/v1/data/workspaces/{workspace_id}/snapshots/{snapshot_id}	deleteDataSnapshot	[Data Workspaces]	9410
